 ,"village_name" ,"name_of_the_deity","acres"
1,Aruvathoklu,Ayyappa,14.1
2,Aruvathoklu,Kulike Ayyappa,0.54
3,Aruvathoklu,Medara Ayyappa,1.97
4,Aruvathoklu,Medara Ayyappa,2.26
5,Aruvathoklu,Murthy Deva,0.36
6,Aiyangeri,Ayyappa,16.52
7,Aiyangeri,Ayyappa,2.01
8,Aiyangeri,Kabilara,0.55
9,Aiyangeri,Kabilara Holethale,0.4
10,Aiyangeri,Kabilara Holethale,0.82
11,Aiyangeri,Poovadi,0.48
12,Bettathur,Anjadeshir,31.36
13,Bettathur,Ayyappa,0.32
14,Bettathur,Ayyappa,0.72
15,Bettathur,Ayyappa,0.74
16,Bettathur,Chamundi,2.43
17,Bettathur,Gramadevaru,5.68
18,Badaga B,Ayyappa,0.13
19,Badaga B,Ayyappa,1.37
20,Badaga B,Ayyappa,1.7
21,Badaga B,Ayyappa,3.34
22,Badaga B,Ayyappa,3.92
23,Badaga B,Bhagavathi,3.62
24,Badaga B,Bhaqavathi,0.09
25,Badaga B,Bhagavathi,2.4
26,Badaga B,Devarabana,7.17
27,Badaga B,Karimbethu Ayyappa,3.65
28,Badaga B,Krishna Devara,0.21
29,Badaga B,Podanuru,4.27
30,Ballamavati,Ayyappa,0.46
31,Ballamavati,Ayyappa,0.66
32,Ballamavati,Ayyappa,1.55
33,Ballamavati,Ayyappa,59.51
34,Ballamavati,Bhagavathi,1.12
35,Bengoor,Ayyappa,0.6
36,Bengoor,Kshstra,0.16
37,Bengoor,Kshetra,0.17
38,Bengoor,Thammacha,0.69
39,Bhagamandala,Ayyappa,1.55
40,Bhagamandala,Ayvappa,3.85
41,Bhagamandala,Ayyappa,3.85
42,Bhagamandala,Ayyappa,8.23
43,Bhagamandala,Bhaqavathi,0.1
44,Bhagamandala,Chavundu,0.29
45,Bhagamandala,Kaiikarika,0.85
46,Bhagamandala,Punjurli,8.38
47,Bhagamandala,Punjurli,1.52
48,Bhagamandala,Punjurli,1.52
49,Bhagamandala,Sangama,93
50,Singathur,Ayyappa,8.52
51,Singathur,Ayyappa,1.85
52,Singathur,Ayyappa,1.15
53,Singathur,Ayyappa,14.77
54,Singathur,Devaranade,1.65
55,Singathur,Urumbala Sharthavu,8.07
56,Singathur,Urumbala Sharthavu,0.1
57,Cherangala,Ayyappa,2.01
58,Cherangala,Bhadrakali,0.35
59,Cherangala,Bhadrakali,0.81
60,Cherangala,Bhagavathi,7.17
61,Cherangala,Kaverammana,379.85
62,Ballamavati,Bhagavathi,11.08
63,Karagunda,Ayyappa,0.46
64,Karagunda,Bhagavathi,1.22
65,Karagunda,Uruguppa Hoguvande,3.44
66,Karagunda,Ayyappa,0.35
67,Karagunda,Ayyappa,13.13
68,Karagunda,Bhagavathi,0.21
69,Karagunda,Vishnumurthi,4.37
70,Kadagadalu,Ayyappa,8.71
71,Kadagadalu,Ayyappa,2.3
72,Kadagadalu,Bhagavathi,0.42
73,Kadagadalu,Bhagavathi,1.42
74,Kadagadalu,Devasthanajaga,0.1
75,Kadagadalu,Kudike Ayyappa,1.9
76,Kolakeri,Ayyappa,0.08
77,Kolakeri,Ayyappa,0.49
78,Kolakeri,Ayyappa,2.47
79,Kolakeri,Bettathappa,5.59
80,Kolakeri,Bhadrakali,1.24
81,Kolakeri,Kadumudi Ayyappa,1.24
82,Kopati,Devaramotte Thundu,125.99
83,Kopati,Vishnu,1.33
84,Kopati,Vishnumurthi,0.85
85,Kopati,Gramadevaru,1.58
86,Kopati,Gramadevaru,206.24
87,Cherangala,Subrava,59.34
88,Cherangala,Vishnu,2.19
89,Kunjila,Alangeri Ayyappa,10.42
90,Kunjila,Ayyappa,2.77
91,Kunjila,Beerangadu,5.49
92,Kunjila,Kairama,0.68
93,Kunjila,Kandathi Ayyappa,2.73
94,Kunjila,Kottani Ayyappa,0.45
95,Kunjila,Malemudi Ayyappa,0.21
96,Kunjila,Polela Ayyappa,0.83
97,Kunjila,PoGvacni,1.75
98,Kunjila,Someshwara,0.6
99,Naladi,Ayyappa,0.15
100,Naladi,Ayyappa,0.49
101,Naladi,Ayyappa,0.98
102,Naladi,Ayyappa,5.37
103,Napoklu,Ayyappa,0.04
104,Napoklu,Ayyappa,0.1
105,Napoklu,Ayyappa,0.16
106,Napoklu,Ayyappa,0.45
107,Napoklu,Ayyappa,4.81
108,Napoklu,Ayyappa,21.59
109,Nelaji,Ayyappa,2.76
110,Nelaji,Bhagavathi,4.57
111,Nelaji,Igguthappa,354.84
112,Kundacheri,Ayyappa,11.13
113,Kundacheri,Devara kerevadi,2.18
114,Kundacheri,Uravara Dolu,1.05
115,Perur,Bommakudi,26.96
116,Perur,Igguthappa,8.07
117,Sannapulikotu,Ayyappa,0.59
118,Sannapulikotu,Ayyappa,20.57
119,Sannapulikotu,Gramadevaru,0.37
120,Singathur,Urumbala,3.2
121,Singathur,Vishnumurthi,2.48
122,Singathur,Vishnumurthi,2.83
123,Yemmemadu,Macills,4.36
124,Yevakapadi,Ayyappa,7.42
125,Yevakapadi,Panniangathamane,0.23
